Select State,State-County-Tract FIPS Code,Primary RUCA Code 2010
MN,27001770100,10
MN,27001770200,10
MN,27001770300,10
MN,27001770400,10
MN,27001790501,10
MN,27001790502,10
MN,27003050107,2
MN,27003050108,2
MN,27003050109,2
MN,27003050110,2
MN,27003050111,2
MN,27003050114,2
MN,27003050115,2
MN,27003050116,2
MN,27003050208,1
MN,27003050210,2
MN,27003050215,1
MN,27003050216,1
MN,27003050217,1
MN,27003050218,1
MN,27003050219,1
MN,27003050220,1
MN,27003050221,1
MN,27003050222,1
MN,27003050223,1
MN,27003050224,1
MN,27003050225,1
MN,27003050226,1
MN,27003050227,1
MN,27003050228,1
MN,27003050229,1
MN,27003050230,1
MN,27003050232,1
MN,27003050233,1
MN,27003050234,1
MN,27003050235,1
MN,27003050236,1
MN,27003050237,1
MN,27003050401,1
MN,27003050402,1
MN,27003050501,1
MN,27003050504,1
MN,27003050505,1
MN,27003050602,1
MN,27003050605,1
MN,27003050606,1
MN,27003050607,1
MN,27003050608,1
MN,27003050609,1
MN,27003050610,1
MN,27003050702,1
MN,27003050704,1
MN,27003050706,1
MN,27003050707,1
MN,27003050709,1
MN,27003050710,1
MN,27003050711,1
MN,27003050712,1
MN,27003050805,1
MN,27003050806,1
MN,27003050807,1
MN,27003050808,1
MN,27003050809,1
MN,27003050810,1
MN,27003050811,1
MN,27003050813,1
MN,27003050816,1
MN,27003050818,1
MN,27003050819,1
MN,27003050820,1
MN,27003050821,1
MN,27003050901,1
MN,27003050902,1
MN,27003051001,1
MN,27003051002,1
MN,27003051101,1
MN,27003051102,1
MN,27003051103,1
MN,27003051201,1
MN,27003051202,1
MN,27003051203,1
MN,27003051206,1
MN,27003051302,1
MN,27003051304,1
MN,27003051305,1
MN,27003051400,1
MN,27003051501,1
MN,27003051502,1
MN,27003051600,2
MN,27005450100,10
MN,27005450200,10
MN,27005450300,8
MN,27005450400,8
MN,27005450500,7
MN,27005450600,7
MN,27005450700,8
MN,27005450800,10
MN,27005450900,2
MN,27005940000,10
MN,27007450100,5
MN,27007450200,4
MN,27007450300,5
MN,27007450400,5
MN,27007450500,10
MN,27007450600,4
MN,27007450701,4
MN,27007450702,4
MN,27007940001,5
MN,27007940002,5
MN,27009020100,10
MN,27009020202,2
MN,27009020203,2
MN,27009020205,1
MN,27009020206,1
MN,27009020300,2
MN,27009021101,1
MN,27009021102,1
MN,27009021200,1
MN,27011950100,10
MN,27011950200,10
MN,27011950300,10
MN,27013170100,1
MN,27013170200,1
MN,27013170300,1
MN,27013170400,1
MN,27013170500,1
MN,27013170600,1
MN,27013170700,1
MN,27013170800,1
MN,27013170900,2
MN,27013171000,2
MN,27013171101,1
MN,27013171202,1
MN,27013171300,2
MN,27013171400,2
MN,27013171500,2
MN,27013171600,1
MN,27015960101,4
MN,27015960102,4
MN,27015960200,4
MN,27015960300,4
MN,27015960400,4
MN,27015960500,7
MN,27015960600,10
MN,27015960700,5
MN,27017070100,4
MN,27017070200,4
MN,27017070300,2
MN,27017070400,4
MN,27017070500,7
MN,27017070600,10
MN,27017940000,5
MN,27019090100,2
MN,27019090200,2
MN,27019090301,2
MN,27019090302,2
MN,27019090401,1
MN,27019090402,1
MN,27019090501,1
MN,27019090502,1
MN,27019090503,1
MN,27019090601,1
MN,27019090602,1
MN,27019090701,1
MN,27019090702,1
MN,27019090800,1
MN,27019090900,1
MN,27019091000,1
MN,27019091100,1
MN,27019091201,2
MN,27019091202,2
MN,27021940001,10
MN,27021940002,10
MN,27021960100,10
MN,27021960200,10
MN,27021960301,10
MN,27021960302,10
MN,27021960600,10
MN,27021960700,10
MN,27021960801,5
MN,27021960802,6
MN,27023950300,7
MN,27023950400,10
MN,27023950500,8
MN,27023950600,7
MN,27025110100,2
MN,27025110200,2
MN,27025110301,2
MN,27025110302,2
MN,27025110401,2
MN,27025110402,2
MN,27025110501,2
MN,27025110502,2
MN,27025110600,2
MN,27025110700,2
MN,27027020100,1
MN,27027020202,1
MN,27027020300,1
MN,27027020400,1
MN,27027020500,1
MN,27027020600,1
MN,27027030102,1
MN,27027030103,1
MN,27027030104,1
MN,27027030106,1
MN,27027030107,2
MN,27027030201,2
MN,27027030202,2
MN,27029000100,5
MN,27029000200,6
MN,27029000300,10
MN,27031480100,10
MN,27031480200,10
MN,27031990000,10
MN,27033270100,10
MN,27033270200,10
MN,27033270300,7
MN,27033270400,7
MN,27035950100,10
MN,27035950204,10
MN,27035950400,10
MN,27035950501,10
MN,27035950502,5
MN,27035950700,7
MN,27035950800,5
MN,27035950900,5
MN,27035951000,4
MN,27035951100,4
MN,27035951200,4
MN,27035951301,4
MN,27035951302,4
MN,27035951400,5
MN,27035951600,6
MN,27035951700,10
MN,27037060101,1
MN,27037060102,1
MN,27037060103,1
MN,27037060104,1
MN,27037060105,1
MN,27037060201,1
MN,27037060202,1
MN,27037060301,1
MN,27037060302,1
MN,27037060401,1
MN,27037060402,1
MN,27037060502,1
MN,27037060503,1
MN,27037060505,1
MN,27037060506,1
MN,27037060507,1
MN,27037060508,1
MN,27037060509,1
MN,27037060603,1
MN,27037060604,1
MN,27037060605,1
MN,27037060606,1
MN,27037060709,1
MN,27037060710,1
MN,27037060711,1
MN,27037060713,1
MN,27037060714,1
MN,27037060716,1
MN,27037060717,1
MN,27037060721,1
MN,27037060725,1
MN,27037060726,1
MN,27037060727,1
MN,27037060728,1
MN,27037060729,1
MN,27037060730,1
MN,27037060731,1
MN,27037060732,1
MN,27037060733,1
MN,27037060734,1
MN,27037060735,1
MN,27037060737,1
MN,27037060738,1
MN,27037060739,1
MN,27037060741,1
MN,27037060742,1
MN,27037060743,1
MN,27037060744,1
MN,27037060745,1
MN,27037060746,1
MN,27037060747,1
MN,27037060748,1
MN,27037060749,1
MN,27037060750,1
MN,27037060805,1
MN,27037060806,1
MN,27037060811,1
MN,27037060812,1
MN,27037060813,1
MN,27037060814,1
MN,27037060815,1
MN,27037060816,1
MN,27037060817,1
MN,27037060818,1
MN,27037060819,1
MN,27037060820,1
MN,27037060821,1
MN,27037060822,1
MN,27037060823,1
MN,27037060824,1
MN,27037060825,1
MN,27037060826,1
MN,27037060828,1
MN,27037060829,1
MN,27037060902,1
MN,27037060904,1
MN,27037060905,1
MN,27037060906,1
MN,27037060907,1
MN,27037061001,2
MN,27037061003,1
MN,27037061004,1
MN,27037061005,1
MN,27037061007,1
MN,27037061008,1
MN,27037061009,1
MN,27037061102,2
MN,27037061105,2
MN,27037061106,2
MN,27037061107,2
MN,27037061108,2
MN,27037061401,2
MN,27037061402,2
MN,27037061501,2
MN,27037061502,4
MN,27039950100,2
MN,27039950200,2
MN,27039950300,2
MN,27039950400,2
MN,27039950500,2
MN,27041450100,5
MN,27041450200,5
MN,27041450500,4
MN,27041450600,4
MN,27041450701,4
MN,27041450702,4
MN,27041450800,5
MN,27041450900,5
MN,27041451000,5
MN,27043460100,10
MN,27043460200,10
MN,27043460300,8
MN,27043460400,7
MN,27043460500,10
MN,27043460600,10
MN,27045960100,10
MN,27045960200,2
MN,27045960300,2
MN,27045960400,10
MN,27045960500,10
MN,27045960600,10
MN,27047180100,10
MN,27047180200,5
MN,27047180300,5
MN,27047180400,4
MN,27047180500,4
MN,27047180600,4
MN,27047180700,5
MN,27047180800,4
MN,27047180900,4
MN,27047181000,5
MN,27049080101,4
MN,27049080102,4
MN,27049080200,4
MN,27049080300,5
MN,27049080400,5
MN,27049080500,2
MN,27049080600,7
MN,27049080700,10
MN,27049080800,7
MN,27049080900,7
MN,27051070100,10
MN,27051070200,10
MN,27053000101,1
MN,27053000102,1
MN,27053000300,1
MN,27053000601,1
MN,27053000603,1
MN,27053001100,1
MN,27053001700,1
MN,27053002200,1
MN,27053002400,1
MN,27053002700,1
MN,27053003200,1
MN,27053003300,1
MN,27053003800,1
MN,27053005901,1
MN,27053005902,1
MN,27053006800,1
MN,27053007700,1
MN,27053007801,1
MN,27053008100,1
MN,27053008200,1
MN,27053008300,1
MN,27053008400,1
MN,27053008500,1
MN,27053009500,1
MN,27053009600,1
MN,27053010600,1
MN,27053010700,1
MN,27053011000,1
MN,27053011703,1
MN,27053011704,1
MN,27053011800,1
MN,27053011998,1
MN,27053012001,1
MN,27053012003,1
MN,27053012101,1
MN,27053012102,1
MN,27053020101,1
MN,27053020102,1
MN,27053020200,1
MN,27053020301,1
MN,27053020302,1
MN,27053020303,1
MN,27053020304,1
MN,27053020400,1
MN,27053020500,1
MN,27053020600,1
MN,27053020700,1
MN,27053020801,1
MN,27053020804,1
MN,27053020902,1
MN,27053020903,1
MN,27053021001,1
MN,27053021002,1
MN,27053021100,1
MN,27053021200,1
MN,27053021300,1
MN,27053021400,1
MN,27053021501,1
MN,27053021502,1
MN,27053021503,1
MN,27053021504,1
MN,27053021505,1
MN,27053021601,1
MN,27053021602,1
MN,27053021700,1
MN,27053021800,1
MN,27053021900,1
MN,27053022000,1
MN,27053022101,1
MN,27053022102,1
MN,27053022200,1
MN,27053022301,1
MN,27053022302,1
MN,27053022400,1
MN,27053022700,1
MN,27053022801,1
MN,27053022802,1
MN,27053022901,1
MN,27053022902,1
MN,27053023000,1
MN,27053023100,1
MN,27053023200,1
MN,27053023300,1
MN,27053023400,1
MN,27053023501,1
MN,27053023502,1
MN,27053023600,1
MN,27053023700,1
MN,27053023801,1
MN,27053023802,1
MN,27053023901,1
MN,27053023902,1
MN,27053023903,1
MN,27053024003,1
MN,27053024004,1
MN,27053024005,1
MN,27053024006,1
MN,27053024100,1
MN,27053024200,1
MN,27053024300,1
MN,27053024400,1
MN,27053024500,1
MN,27053024600,1
MN,27053024700,1
MN,27053024801,1
MN,27053024802,1
MN,27053024901,1
MN,27053024902,1
MN,27053024903,1
MN,27053025100,1
MN,27053025201,1
MN,27053025205,1
MN,27053025301,1
MN,27053025302,1
MN,27053025401,1
MN,27053025403,1
MN,27053025601,1
MN,27053025603,1
MN,27053025605,1
MN,27053025701,1
MN,27053025702,1
MN,27053025801,1
MN,27053025802,1
MN,27053025803,1
MN,27053025805,1
MN,27053025903,1
MN,27053025905,1
MN,27053025906,1
MN,27053025907,1
MN,27053026005,1
MN,27053026006,1
MN,27053026007,1
